Vote_ID,Unanimous_Or_Not,Block_Or_Split,Approved_Or_Rejected,Iniciative_ID,Proposed_By,Date_ID,ABSENT,Favor,Abstenção,Contra
126495,N,Block Vote,Rejeitado,263522,BE,2024-04-19 00:00:00,0," IL,  BE,  PCP,  L,  PAN",CH,"PSD,  PS,  CDS-PP"
126496,N,Block Vote,Rejeitado,263542,PAN,2024-04-19 00:00:00,0," IL,  BE,  PCP,  L,  PAN",CH,"PSD,  PS,  CDS-PP"
126499,N,Block Vote,Rejeitado,263547,PCP,2024-04-24 00:00:00,0," IL,  BE,  PCP,  L,  PAN",CH,"PSD,  PS,  CDS-PP"
126500,N,Block Vote,Rejeitado,263568,BE,2024-04-24 00:00:00,0," CH,  IL,  BE,  PCP,  L,  PAN","","PSD,  PS,  CDS-PP"
126501,N,Block Vote,Rejeitado,263577,PAN,2024-04-24 00:00:00,0," CH,  IL,  BE,  PCP,  L,  PAN","","PSD,  PS,  CDS-PP"
126502,N,Block Vote,Rejeitado,263582,L,2024-04-24 00:00:00,0," CH,  IL,  BE,  PCP,  L,  PAN","","PSD,  PS,  CDS-PP"
126504,N,Block Vote,Aprovado,263560,CH,2024-04-24 00:00:00,0," PSD,  CH,  IL,  BE,  CDS-PP,  PAN","PCP,  L",PS
126505,N,Block Vote,Aprovado,263567,PSD,2024-04-24 00:00:00,0," PSD,  CH,  IL,  BE,  PCP,  L,  CDS-PP,  PAN",PS,""
126506,N,Block Vote,Aprovado,263576,PAN,2024-04-24 00:00:00,0," PSD,  CH,  IL,  BE,  PCP,  L,  CDS-PP,  PAN","",PS
126507,N,Block Vote,Aprovado,263586,PCP,2024-04-24 00:00:00,0," PS,  CH,  BE,  PCP,  L,  PAN","PSD,  IL,  CDS-PP",""
126509,N,Block Vote,Aprovado,263584,L,2024-04-24 00:00:00,0," PS,  CH,  BE,  PCP,  L,  PAN",IL,"PSD,  CDS-PP"
126510,N,Block Vote,Aprovado,263602,V,2024-04-24 00:00:00,0," PSD,  PS,  CH,  IL,  PCP,  CDS-PP,  PAN","BE,  L",""
126511,N,Block Vote,Aprovado,263604,CH,2024-04-24 00:00:00,0," PSD,  PS,  CH,  IL,  PCP,  L,  CDS-PP,  PAN",BE,""
126512,N,Block Vote,Aprovado,263605,IL,2024-04-24 00:00:00,0," PSD,  PS,  CH,  IL,  PCP,  L,  CDS-PP,  PAN",BE,""
126513,N,Block Vote,Aprovado,263606,BE,2024-04-24 00:00:00,0," PS,  IL,  BE,  PCP,  L,  PAN",CH,"PSD,  CDS-PP"
126514,N,Block Vote,Aprovado,263607,BE,2024-04-24 00:00:00,0," PS,  IL,  BE,  PCP,  L,  PAN",CH,"PSD,  CDS-PP"
126515,N,Block Vote,Aprovado,263608,PCP,2024-04-24 00:00:00,0," PS,  BE,  PCP,  L,  PAN","CH,  IL","PSD,  CDS-PP"
126516,N,Block Vote,Aprovado,263610,PS,2024-04-24 00:00:00,0," PS,  BE,  PCP,  L,  PAN","CH,  IL","PSD,  CDS-PP"
126517,N,Block Vote,Rejeitado,263587,CH,2024-04-24 00:00:00,0," CH,  IL","","PSD,  PS,  BE,  PCP,  L,  CDS-PP,  PAN"
126518,N,Block Vote,Rejeitado,263569,BE,2024-04-24 00:00:00,0," CH,  BE,  PCP,  L,  PAN",IL,"PSD,  PS,  CDS-PP"
126519,N,Block Vote,Rejeitado,263578,PAN,2024-04-24 00:00:00,0," CH,  BE,  PCP,  L,  PAN",IL,"PSD,  PS,  CDS-PP"
126520,N,Block Vote,Rejeitado,263579,PAN,2024-04-24 00:00:00,0," CH,  BE,  L,  PAN","IL,  PCP","PSD,  PS,  CDS-PP"
126521,N,Block Vote,Rejeitado,263581,PCP,2024-04-24 00:00:00,0," CH,  BE,  PCP,  L,  PAN",IL,"PSD,  PS,  CDS-PP"
126522,N,Block Vote,Rejeitado,263571,CH,2024-04-24 00:00:00,0," CH,  IL,  BE,  PAN","PS,  PCP,  L","PSD,  CDS-PP"
126523,N,Block Vote,Rejeitado,263585,L,2024-04-24 00:00:00,0," CH,  BE,  PCP,  L,  PAN","PS,  IL","PSD,  CDS-PP"
126524,N,Block Vote,Rejeitado,263514,L,2024-04-24 00:00:00,0," BE,  L,  PAN","PS,  PCP","PSD,  CH,  IL,  CDS-PP"
126525,N,Block Vote,Rejeitado,263592,BE,2024-04-24 00:00:00,0," BE,  PCP,  L","PS,  IL,  PAN","PSD,  CH,  CDS-PP"
126526,N,Block Vote,Rejeitado,263599,IL,2024-04-24 00:00:00,0," IL,  BE,  PAN","PS,  CH,  L","PSD,  PCP,  CDS-PP"
126527,N,Block Vote,Rejeitado,263600,PAN,2024-04-24 00:00:00,0," BE,  L,  PAN","PS,  IL,  PCP","PSD,  CH,  CDS-PP"
126528,N,Block Vote,Rejeitado,263601,PAN,2024-04-24 00:00:00,0," BE,  L,  PAN",PS,"PSD,  CH,  IL,  PCP,  CDS-PP"
126529,N,Block Vote,Rejeitado,263603,PCP,2024-04-24 00:00:00,0," BE,  PCP,  L","PS,  PAN","PSD,  CH,  IL,  CDS-PP"
126530,N,Block Vote,Rejeitado,263572,PAN,2024-04-24 00:00:00,0," PS,  PAN","CH,  IL,  BE,  PCP,  L","PSD,  CDS-PP"
126531,N,Block Vote,Rejeitado,263609,L,2024-04-24 00:00:00,0," PS,  BE,  PCP,  L,  PAN","","PSD,  CH,  IL,  CDS-PP"
126533,N,Block Vote,Aprovado,263613,PS,2024-05-02 00:00:00,0," PS,  CH,  BE,  PCP,  L,  PAN",IL,"PSD,  CDS-PP"
126534,N,Block Vote,Rejeitado,263627,BE,2024-05-02 00:00:00,0," PS,  BE,  PCP,  L,  PAN","","PSD,  CH,  IL,  CDS-PP"
126535,N,Block Vote,Rejeitado,263633,PCP,2024-05-02 00:00:00,0," PS,  BE,  PCP,  L,  PAN","","PSD,  CH,  IL,  CDS-PP"
126536,N,Block Vote,Rejeitado,263628,IL,2024-05-02 00:00:00,0, IL,"BE,  L,  PAN","PSD,  PS,  CH,  PCP,  CDS-PP"
126538,N,Block Vote,Rejeitado,263631,"PSD, CDS-PP",2024-05-02 00:00:00,0," PSD,  IL,  CDS-PP","BE,  L,  PAN","PS,  CH,  PCP"
126539,N,Block Vote,Rejeitado,263634,PAN,2024-05-02 00:00:00,0," L,  PAN","CH,  IL,  BE","PSD,  PS,  PCP,  CDS-PP"
126540,N,Block Vote,Rejeitado,263641,IL,2024-05-02 00:00:00,0," CH,  IL,  BE,  PCP,  L,  PAN","","PSD,  PS,  CDS-PP"
126541,Y,Block Vote,Aprovado,263617,R,2024-05-03 00:00:00, PAN,unanime,"",""
126545,N,Split Vote,Rejeitado,263626,IL,2024-05-03 00:00:00,0,"IL, BE","PS, L","PSD, 4-PS, CH, PCP, CDS-PP"
126546,N,Block Vote,Aprovado,263636,PS,2024-05-03 00:00:00,0," PSD,  PS,  IL,  BE,  PCP,  L,  CDS-PP",CH,""
126547,N,Block Vote,Rejeitado,263545,IL,2024-05-03 00:00:00,0," CH,  IL,  BE,  L",PCP,"PSD,  PS,  CDS-PP"
126569,N,Block Vote,Rejeitado,263519,IL,2024-05-08 00:00:00,0," CH,  IL","PSD,  CDS-PP,  PAN","PS,  BE,  PCP,  L"
126570,N,Block Vote,Rejeitado,263520,IL,2024-05-08 00:00:00,0," CH,  IL","PSD,  PCP,  CDS-PP,  PAN","PS,  BE,  L"
126571,N,Block Vote,Rejeitado,263521,IL,2024-05-08 00:00:00,0," CH,  IL","","PSD,  PS,  BE,  PCP,  L,  CDS-PP,  PAN"
126572,N,Block Vote,Rejeitado,263525,IL,2024-05-08 00:00:00,0," CH,  IL,  PAN","","PSD,  PS,  BE,  PCP,  L,  CDS-PP"
126573,N,Block Vote,Rejeitado,263531,IL,2024-05-08 00:00:00,0," CH,  IL,  PAN","PSD,  BE,  PCP,  L,  CDS-PP",PS
